kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
md5hash,1550,1550,1548,1547,1549,1551,1548,1549,1550,1547,1550.000000,1550.000000,1548.000000,1547.000000,1549.000000,1551.000000,1548.000000,1549.000000,1550.000000,1547.000000
reduction,35,36,46,34,34,35,34,36,35,35,35.000000,36.000000,46.000000,34.000000,34.000000,35.000000,34.000000,36.000000,35.000000,35.000000
spmv,46,48,47,47,46,47,46,47,46,47,46.000000,48.000000,47.000000,47.000000,46.000000,47.000000,46.000000,47.000000,46.000000,47.000000
stencil2d,50,52,50,50,51,51,52,51,49,50,50.000000,52.000000,50.000000,50.000000,51.000000,51.000000,52.000000,51.000000,49.000000,50.000000
scan,45,44,43,44,44,43,44,45,43,44,45.000000,44.000000,43.000000,44.000000,44.000000,43.000000,44.000000,45.000000,43.000000,44.000000
ndrsd1,1339,1353,1350,1369,1343,1384,1336,1331,1361,1366,1339.000000,1353.000000,1350.000000,1369.000000,1343.000000,1384.000000,1336.000000,1331.000000,1361.000000,1366.000000
ndrsd2,3247,3257,3264,3254,3266,3256,3249,3245,3260,3251,3247.000000,3257.000000,3264.000000,3254.000000,3266.000000,3256.000000,3249.000000,3245.000000,3260.000000,3251.000000
ndrsd3,355,357,358,355,361,386,362,362,360,385,355.000000,357.000000,358.000000,355.000000,361.000000,386.000000,362.000000,362.000000,360.000000,385.000000
ndrsd4,7041,7041,7060,7056,7043,7046,7049,7043,7048,7043,7041.000000,7041.000000,7060.000000,7056.000000,7043.000000,7046.000000,7049.000000,7043.000000,7048.000000,7043.000000
ndrsdfull,6752,6743,6736,6700,6767,6733,6714,6741,6739,6701,6752.000000,6743.000000,6736.000000,6700.000000,6767.000000,6733.000000,6714.000000,6741.000000,6739.000000,6701.000000
